Caption,Tipo,Canais,Post time,Reach,Likes,Comments,Shares,Saves,Interações,Visitas ao perfil,Toques no site,botão de texto,Impressões,Na Pag Inicial,no perfil ,Hashtags,de Explorar,De Outra Pessoa,Seguidores
post1,Moda,Carrossel,4/1/2021,9367,128,2,5,21,27,16,11,0,10.548,4178,5699,0,647,44,1
post2,Moda,Carrossel,4/2/2021,17647,493,36,8,75,180,155,25,0,19956,11482,5840,0,1845,174,17
post3,Moda,Carrossel,4/3/2021,14858,398,2,13,46,104,85,19,0,17300,9106,5431,0,2480,207,1
post4,Marca,Carrossel,4/3/2021,13938,331,5,5,33,118,92,26,0,15882,9801,4823,0,936,176,5
post5,AA,Foto,4/4/2021,46799,1525,27,22,107,2003,1656,347,0,49465,26034,13787,13.787,5637,75,97
post6,AA,Carrossel,4/4/2021,9094,115,0,1,10,51,36,15,0,10186,5061,4422,0,569,127,3
post7,Moda,Foto,4/5/2021,10476,185,3,8,28,42,34,8,0,11360,6507,4203,0,368,155,2
post8,Moda,Carrossel,4/6/2021,6608,71,2,1,10,14,11,3,0,4114,3034,4114,0,286,105,1
post9,Moda,Carrossel,4/6/2021,10987,302,10,5,32,77,64,13,0,12364,6227,4479,0,1354,101,4
post10,Moda,Carrossel,4/7/2021,9790,199,9,3,39,62,51,11,0,11133,3967,4738,0,2188,115,4
post11,Institucional,Video,4/8/2021,8194,124,20,4,14,50,40,10,0,8888,3788,4740,173,0,72,2
post12,AA,Carrossel,4/8/2021,7392,98,2,6,9,35,26,9,0,8744,3252,4801,0,578,101,3
post13,Moda,Carrossel,4/9/2021,6701,98,2,1,20,36,28,8,0,7886,2552,4811,0,377,94,0
post14,Influencer,Carrossel,4/10/2021,10024,231,2,5,15,66,53,13,0,11959,5834,4505,0,1392,69,5
post15,Moda,Carrossel,4/11/2021,12514,257,8,4,31,76,64,12,0,14142,6847,4499,0,2389,83,5
post16,Moda,Carrossel,4/12/2021,6676,155,0,3,13,39,34,5,0,7580,2791,4265,0,373,62,3
post17,Institucional,Video,4/13/2021,6678,71,0,1,19,82,59,23,0,7115,2234,4120,0,649,15,4
post18,Influencer,Carrossel,4/13/2021,10074,303,17,5,33,87,78,9,0,11426,5352,5181,0,758,42,7
post19,Moda,Carrossel,4/14/2021,10016,307,9,6,43,61,50,11,0,11541,4734,5081,0,1548,79,8
post20,Influencer,Reels,4/15/2021,13926,318,10,0,22,0,0,0,0,13926,0,0,0,0,0,0
post21,Moda,Carrossel,4/15/2021,13235,333,11,12,88,83,69,14,0,14832,7365,4014,0,3252,96,6
post22,Institucional,Carrossel,4/16/2021,12746,419,44,30,45,122,114,8,0,14346,5092,5243,0,3556,386,23
post23,Marca,Carrossel,4/17/2021,16894,493,14,11,78,133,114,19,0,19220,10988,4874,0,2867,60,6
post24,Institucional,Foto,4/17/2021,7567,41,0,1,2,26,17,9,0,8139,3353,4506,0,137,6,1
post25,Influencer,Carrossel,4/18/2021,10315,251,8,6,23,41,31,10,0,11864,4567,6196,0,874,53,1
post26,AA,Carrossel,4/19/2021,24350,864,38,42,164,504,367,137,0,27794,16667,6536,0,3605,150,55
post27,Influencer,Carrossel,4/20/2021,10935,313,4,7,31,66,59,7,0,11857,4935,5293,0,1053,78,12
post28,Moda,Carrossel,4/21/2021,9149,254,8,4,19,69,53,16,0,10406,5536,4084,0,647,53,2
post29,Institucional,Foto,4/21/2021,12684,235,0,2,18,261,216,45,0,13391,8684,3923,0,542,6,4
post30,Influencer,Reels,4/22/2021,32020,1930,117,0,180,0,0,0,0,32020,0,0,0,0,0,0
post31,Influencer,Carrossel,4/22/2021,10629,234,6,7,35,99,79,20,0,11730,4987,5034,0,1173,20,2
post32,Influencer,Carrossel,4/23/2021,7817,104,2,1,6,15,14,1,0,8474,2655,4848,0,717,56,4
post33,Influencer,Carrossel,4/24/2021,11779,304,12,5,22,107,82,25,0,13424,5829,5355,0,1838,55,8
post34,Influencer,Carrossel,4/25/2021,9934,231,16,6,62,94,72,22,0,11549,5044,5061,0,955,60,8
post35,Moda,Carrossel,4/26/2021,8144,141,8,2,19,41,32,9,0,9315,4105,3889,0,1297,22,2
post36,Influencer,Reels,4/27/2021,9503,241,13,0,21,0,0,0,0,9503,0,0,0,0,0,0
post37,Marca,Carrossel,4/27/2021,7411,168,5,3,16,53,43,10,0,8509,3271,4387,0,704,46,6
post38,Influencer,Foto,4/28/2021,7003,87,0,3,3,20,20,0,0,7740,2484,4860,0,328,30,2
